Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Pineapple, canned in heavy syrup, with syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (270g),232.2,1.62,0,56.97,2.16,13.5,56.97
"Pineapple, canned in pineapple juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Slice (40g),19.71,0.2,0.04,4.2,0.76,2.4,4.2
"Plum, preserved, salted",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (248g),257.92,2.73,1.98,64.48,2.48,17.36,
"Prune, dried, cooked, without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (212g),226.84,2.54,0.42,59.57,13.99,48.76,59.57
"Raisin, seedless",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (145g),437.9,4.93,0.73,108.94,8.85,76.85,105.85
"Raspberry, canned, heavy syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (256g),232.96,2.05,0.31,59.8,11.52,28.16,59.9
"Rhubarb, stewed with sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",1 portion (140g),67.2,1.26,0.14,16.1,2.8,46.2,16.1
"Rhubarb, stewed without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",1 portion (140g),2.34,1.26,0.14,0.98,2.94,49,0.98
Rokam candied,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cube/Square (1.2g),4.06,0.01,0,1,,0.13,
"Starfruit, dried",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (175g),488.11,3.5,1.58,114.1,9.8,112,111.13
"Strawberry, fresh, pureed",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Whole (12g),3.6,0.07,0.05,0.56,0.28,1.68,0.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Beehoon goreng,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Plate-23cm (170g),294.17,7.31,11.39,40.63,2.94,28.9,1.24
Egg banjo,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Piece (180g),372.56,13.68,16.92,41.4,0,75.6,2.52
"Kway teow, bandung, style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Bowl-rice (11and 1/2 cm) (450g),542.07,17.1,27,57.6,4.14,112.5,10.04
Mee curry,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Bowl-rice (11and 1/2 cm) (410g),531.12,11.89,36.9,36.9,0.82,61.5,
"Mee goreng, mamak style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Plate-23cm (170g),281.57,9.35,9.01,40.63,2.11,32.3,3.4
"Mee, bandung style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Bowl-rice (11and 1/2 cm) (450g),444.11,19.4,15.71,56.3,4.14,100.35,9.81
Nasi dagang,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Plate-23cm (250g),509.68,8,12.25,91.5,1.25,20,
Putu bambu,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Piece (66g),170.99,3.63,5.28,27.26,3.43,41.58,12.58
Rawa thosai,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Piece (85g),203.83,4.2,5.88,33.52,0.87,11,0.93
"Rice porridge, fish, dry",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Packet (63g),219.18,6.24,0.19,48.13,0.19,13.23,
Roti telur,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Piece (135g),356.4,12.42,18.23,46.17,1.49,40.5,
"African bream, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (60g),176.39,14.34,10.8,5.4,0.06,31.2,
"Black pomfret, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Whole (202.7g),456.08,63.85,13.38,2.03,0,81.08,2.03
"Black pomfret, in chilli, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (95g),230.01,23.09,13.87,3.23,2,44.65,
"Catfish eel, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (60g),152.44,17.22,8.52,1.68,0.18,60,
"Curry, indian mackerel",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (80g),83.94,13.44,2.72,1.36,0.44,28.8,0.73
"Cuttlefish, small, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (45g),66.58,5.99,3.47,2.84,,20.25,
"Fish curry, canned",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Can (181g),170.01,21.9,2.9,14.3,0,495.94,
"Hairtail scad, cooked in vinegar",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (145g),280.02,37.7,13.2,2.03,,68.15,
"Hairtail scad, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (100g),215.11,18,12.6,7.1,2.1,59,
"Mackerel, indian, with chilli, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (80g),268.8,15.52,22.56,0.96,0,48,
"Mackerel, spanish, with chilli, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (40g),114.44,8.96,8.48,0.56,0.84,38.4,
Red snapper in chilli,OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (50g),130.02,16.75,6.75,0.6,,43.5,
"Red snapper, cooked with tamarind",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (55g),126.46,11.55,6.99,4.4,0.63,20.35,
"Red snapper, in coconut milk",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (50g),125.48,9.5,9.1,1.4,0.05,25.5,
"Seafood and vegetable cutlet, frozen",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (35g),77.35,2.59,4.8,6.51,0.18,2.8,1.23
"Shrimp, small, cooked in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,1 portion (40g),80,6.48,5.8,0.44,0.12,220,
"Snakehead, salted, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (40g),163.12,18.56,5.36,10.16,0,16,10.16
"Stingray, cooked with tamarind",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (60g),146.99,15.96,8.28,2.16,0.68,20.4,
"Thread fin beam, in soya sauce",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (75g),173.25,19.43,9.68,2.7,0.08,22.5,2.7
"Thread fin bream, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (75g),254.18,19.88,17.63,3.98,,64.5,
"Trevally, yellow banded, with tamarind, boiled",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (40g),106.02,7.44,7.36,2.52,0.46,28.8,
"Tuna, cooked in coconut milk",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (55g),65.46,8.64,1.93,3.36,0.63,26.95,
Abok abok sago,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (1g),3.72,0.03,0.17,0.5,0.04,0.12,
Baulu cermai,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (6g),22.8,0.56,0.29,4.48,0.07,0.6,
Bidaran,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (69g),224.28,3.59,9.94,30.15,1.24,26.91,
Bingka tepung beras,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (100g),189.05,1.8,1.5,42,1.3,3,
"Bingka ubi-kayu, gula merah",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (100g),223,2.1,4.5,43.8,1,32,21.4
Chee pah,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (55g),166.1,4.46,4.18,27.67,0.44,4.4,
"Chips, multigrain, SunChips, harvest cheddar flavour",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (2.54g),12.52,0.18,0.54,1.72,0.18,3.12,0.18
"Chips, multigrain, SunChips, original flavour",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (2.54g),12.52,0.18,0.54,1.72,0.18,3.12,0.18
Cokodok pisang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (71g),180.38,2.77,4.47,32.23,1.49,6.39,9.98
"Corn chip, barbecue flavour",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Packet (198g),1035.54,13.86,64.75,111.28,10.3,259.38,0
Cucur badak,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (29g),73.4,1.6,2.78,10.47,0.35,6.38,
Cucur udang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (54g),143.65,3.08,6.21,18.79,0.11,18.36,
"Curry puff, potato, and spices, deep fried",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (40g),127.63,1.88,5.64,17.28,1.11,9.6,0.44
"Curry puff, twisted",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (59g),127.48,3.07,9.85,6.61,0.41,21.83,
Dodol berdurian,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (22g),75.24,0.55,1.06,15.86,0.02,2.86,
Emping muda,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (20g),71.99,1.42,0.8,14.78,0.28,4.2,
Emping tua,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (20g),72.8,1.64,0.88,14.6,0.18,3,
Fish satay snack,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Stick (45g),171.01,6.26,5.49,24.17,0.36,36.45,
Kueh kasturi,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (72g),177.07,4.97,5.26,27.5,1.08,20.16,
Kuih apam,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (27g),52.14,0.65,0.11,12.15,0.12,1.35,
Kuih apam balik,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (115g),281.73,6.9,5.75,50.49,1.27,25.3,
Kuih apam gula hangus,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (50g),158.46,2.8,6.25,22.7,0,13.5,
Kuih bakul,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (25g),72.48,0.6,0.08,17.38,0.05,1.5,
Kuih bangkit sagu,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (4g),15.24,0.11,0.44,2.7,,1.56,
Kuih bawang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (4g),19.52,0.35,0.86,2.58,0.01,0.88,
Kuih bom,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (63g),212.31,3.53,9.2,28.85,3.15,11.34,
Kuih buah melaka,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (15g),30.15,0.48,0.18,6.66,0.08,4.5,
Kuih buah rotan,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (3g),12.12,0.09,0.1,2.71,0.02,0.78,
Kuih kacang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (19g),85.87,1.58,2.45,14.38,0.04,1.33,
Kuih kapit,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (4g),16.68,0.3,0.27,3.26,0.02,0.32,
Kuih karas,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (8g),43.44,0.34,2.72,4.4,0.01,0.8,
Kuih kastad jagung,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (93g),107.8,0.56,0.56,25.2,1.02,2.79,
Kuih keria,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (38g),89.64,0.99,1.48,18.13,0.3,11.02,
Kuih ketayap,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (65g),140.6,2.73,5.14,20.87,0.72,11.05,
Kuih koci pulut hitam,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (82g),164.04,4.67,1.64,32.55,0.9,24.6,
Kuih koci pulut putih,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (82g),182.85,5.58,2.87,33.62,0.57,9.02,
Kuih lepat ubi,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (85g),176.74,0.85,0.68,41.82,1.53,24.65,
Kuih lidah kucing,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (14g),73.65,1.08,4.2,7.9,0.01,2.38,
Kuih lompang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (86g),116.95,2.24,0.26,26.49,0.43,38.7,
Kuih mysore pak,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (90g),345.67,5.4,3.24,73.8,0,27.9,
Kuih pakoda,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (90g),282.65,7.83,13.41,32.58,0.18,26.1,
Kuih peneram,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (55g),255.81,1.6,12.05,35.26,0,3.85,
Kuih sagu,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (92g),130.61,0.28,1.2,29.62,0.55,0.92,
Kuih sri muka,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (99g),192.13,3.56,3.76,35.94,0.2,5.94,
"Kuih talam, seri kaya",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (122g),181.66,1.71,1.1,41.24,0.49,24.4,
Kuih telur labah,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (10g),41.99,0.23,0.83,8.39,0.01,2,
Laddu,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (60g),265.2,3.84,13.08,33.06,0.06,15.6,
Lengat pisang,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (49g),103.41,1.91,0.34,23.18,0.2,9.8,
Loh mai fan,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (190g),421.87,9.69,8.17,77.14,0,32.3,
Puding Jagung,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (90g),90,1.35,0.54,19.89,1.6,5.4,
Sesame seed ball,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (1g),2.38,0.03,0.08,0.37,0.02,0.14,0
"Tangyuen, frozen, no filling",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Whole (20g),24.8,0.4,0.06,5.64,0,2.4,0
"Tangyuen, frozen, peanut",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Gram (1g),0,0,0,0,0,0,0
"Tangyuen, frozen, red bean",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Whole (20g),61,0,2.34,9.34,0,0,3
"Tangyuen, frozen, sesame filling",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (20.67g),77.1,1.03,4.13,8.95,0,93.02,3.1
Tapai pulut,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (80g),133.65,2.8,0.08,30.48,0.16,0.8,
Tepung bungkus,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (85g),237.89,1.45,2.13,53.3,0.17,8.5,
"Tortilla chip, nacho flavour",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (2.67g),13.3,0.21,0.68,1.67,0.14,3.92,
"Tortilla chip, plain",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Cup (27.5g),134.48,2.15,6.42,16.57,1.46,47.85,
Tumpi,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (13g),68.64,1.64,4.1,6.31,0.17,4.42,
Beef ball soup,OTHER MIXED ETHNIC DISHES,Meat based dishes,Bowl-soup (16 and 1/2 cm) (592g),180.74,19.24,9.06,5.56,1.48,30.13,-5.92
Beef in tomato sauce,OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (85g),168.81,16.69,7.11,9.53,1.22,14.03,9.34
"Beef, fried, malay style",OTHER MIXED ETHNIC DISHES,Meat based dishes,1 portion (85g),289.29,26.44,13.18,15.98,2.13,34,
"Casserole base, dry mix",OTHER MIXED ETHNIC DISHES,Meat based dishes,Packet (48g),179.04,3.41,2.35,34.7,2.83,47.52,9.17
Chicken kurma,OTHER MIXED ETHNIC DISHES,Meat based dishes,Bowl-soup (16 and 1/2 cm) (348g),620.83,53.73,43.85,2.78,4.84,78.3,-3.48
"Curry, beef",OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (90g),130.14,13.14,5.13,7.74,1.29,19.8,6.39
"Liver rendang, cow",OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (35g),89.26,6.09,6.86,0.7,0.25,15.75,
Maw in coconut milk gravy,OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (75g),109.88,11.4,6.53,1.35,0.08,27,1.35
"Soup, with fish ball",OTHER MIXED ETHNIC DISHES,Meat based dishes,Bowl-soup (16 and 1/2 cm) (439g),105.36,16.46,3.38,2.28,1.23,38.85,
"Stock, beef",OTHER MIXED ETHNIC DISHES,Meat based dishes,Cup (240g),16.8,2.64,0.48,0,0,14.4,0
Green gram gravy served with roti canai,OTHER MIXED ETHNIC DISHES,Pulses based dishes,Bowl-rice (11and 1/2 cm) (230g),244.07,8.97,8.28,33.58,9.32,59.8,
"Yellow dahl gravy, served with roti canai",OTHER MIXED ETHNIC DISHES,Pulses based dishes,Half Cup (80g),58.32,2.48,2.16,7.2,3.24,14.4,
Chye sim with fish cake,OTHER MIXED ETHNIC DISHES,Vegetable based dishes,1 portion (126.9g),92.2,3.81,6.14,5.46,1.07,129.92,
Vegetable stock,OTHER MIXED ETHNIC DISHES,Vegetable based dishes,Cup (250g),12.5,0.75,1,0.75,0,2.5,0.25
Beef Goulash,MEAT AND MEAT PRODUCTS,Beef and veal,1 portion (232g),252.88,30.62,10.9,5.75,1.16,18.56,3.48
Beef Taco,MEAT AND MEAT PRODUCTS,Beef and veal,1 portion (78g),184.08,8.42,10.51,11.19,2.81,61.62,0.75
"Beef, blade steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (160g),303.54,48.8,11.84,0,0,9.6,0
"Beef, blade steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (160g),261.44,50.56,6.4,0,0,9.6,0
"Beef, boneless, unspecified cut, cooked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),345.8,59.47,11.97,0,0,17.1,0
"Beef, brisket, corned, boiled , lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (45g),140.03,11.52,10.53,0,0,2.7,0
"Beef, brisket, corned, boiled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (45g),95.51,14,4.37,0,0,3.15,0
"Beef, chuck steak, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),486.81,63.27,26.03,0,0,13.3,0
"Beef, chuck steak, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (156g),316.55,57.56,9.36,0,0,10.92,0
"Beef, corned, canned, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (50g),100.36,11.8,5.85,0.15,0,8,0.15
"Beef, fillet, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (80g),164.59,24.56,7.36,0,0,7.2,0
"Beef, fillet, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (80g),142.77,25.52,4.4,0,0,8,0
"Beef, liver, boiled",MEAT AND MEAT PRODUCTS,Beef and veal,Piece (4.44g),7.15,1.08,0.22,0.15,0,0.31,0
"Beef, minced, regular, simmered, drained",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (170g),310.42,40.12,16.66,0,0,15.3,0
"Beef, rib steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (180g),542.49,47.34,39.6,0,0,16.2,0
"Beef, rib steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (180g),317.93,56.34,10.08,0,0,12.6,0
"Beef, ribeye steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),295.2,33.01,18.29,0,0,5.75,0
"Beef, ribeye steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),227.58,36,9.2,0,0,5.75,0
"Beef, round steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Piece (265g),441.38,82.15,12.19,0,0,15.9,0
"Beef, round steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (265g),389.89,84.27,5.3,0,0,15.9,0
"Beef, rump steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (205g),446.29,61.3,22.14,0,0,12.3,0
"Beef, rump steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (205g),348.21,65.6,9.23,0,0,12.3,0
"Beef, silverside, baked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),104.22,14.18,5.27,0,0,2.25,0
"Beef, silverside, baked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),80.13,15.21,2.07,0,0,2.25,0
"Beef, silverside, corned, boiled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),91.63,9.95,5.81,0,0,2.25,0
"Beef, silverside, corned, boiled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),58.4,10.94,1.58,0,0,2.25,0
"Beef, sirloin steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (165g),452.33,42.9,31.52,0,0,42.9,0
"Beef, sirloin steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (165g),266.84,50.16,7.1,0,0,16.5,0
"Beef, sirloin steak, pan fried, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Piece (102g),332.52,28.67,23.3,0,0,12.24,0
"Beef, topside roast, baked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (1500g),2165.4,315,100.5,0,0,45,0
"Beef, topside roast, baked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),68.19,11.97,2.21,0,0,2.25,0
"Bologna, beef",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (23g),72.07,2.69,6.52,0.46,0,2.76,0.46
"Frankfurter, beef, simmered",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (75g),185.89,10.73,14.93,2.55,1.35,24.75,0.15
"Ox, heart",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (328g),396.67,62.32,16.4,0,0,59.04,0
"Ox, kidney",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (256g),227.61,40.96,6.91,0,0,64,0
"Ox, liver",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (283g),376.07,59.43,10.75,10.19,0,50.94,0
"Ox, lung",MEAT AND MEAT PRODUCTS,Beef and veal,Piece (56g),43.1,8.79,0.06,1.79,0,11.2,1.79
"Ox, maw",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (1179g),1473.75,338.37,12.97,0,0,117.9,0
"Ox, tail, simmered",MEAT AND MEAT PRODUCTS,Beef and veal,Piece (78g),270.66,16.93,22.85,0,0,11.7,0
"Sandwiches and burgers, roast beef sandwich with cheese",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (118g),317.42,21.61,12.07,30.42,,122.72,
"Satay, beef, frozen",MEAT AND MEAT PRODUCTS,Beef and veal,Stick (16g),29.92,3.02,0.64,3.02,0.08,3.36,2.75
"Veal, boneless, unspecified cut, cooked, fat only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (50g),201.36,10.05,18.15,0,0,3.5,0
"Veal, boneless, unspecified cut, cooked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),303.35,58.52,7.41,0,0,13.3,0
"Veal, boneless, unspecified cut, cooked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),283.37,59.47,4.75,0,0,13.3,0
"Veal, forequarter, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),355.57,66.12,9.88,0,0,22.8,0
"Veal, forequarter, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),329.23,67.83,6.08,0,0,22.8,0
"Veal, leg steak, fried, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (75g),120.1,23.25,2.85,0,0,2.25,0
"Veal, leg steak, fried, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (75g),115.98,23.48,2.33,0,0,2.25,0
"Veal, leg, baked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),64.1,14.22,0.72,0,0,1.8,0
"Veal, leg, baked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),61.74,14.31,0.41,0,0,1.8,0
"Veal, loin chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (85g),136.93,24.82,4.08,0,0,6.8,0
"Veal, loin chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (85g),123.32,25.33,2.3,0,0,6.8,0
"Veal, shank, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (225g),401.17,66.38,14.85,0,0,72,0
"Veal, shank, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (225g),329.11,69.3,5.4,0,0,78.75,0
"Veal, shoulder steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (60g),92.64,17.16,2.58,0,0,3,0
"Veal, shoulder steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (60g),87.48,17.34,1.92,0,0,3,0
"Curry, mutton, canned",MEAT AND MEAT PRODUCTS,Mutton and lamb,Can (167g),362.42,18.04,28.89,7.68,1.67,30.06,
"Lamb, boneless, unspec cut, cooked, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Cup (190g),574.9,49.02,42.37,0,0,17.1,0
